type,jaar,data/adres-bus,L1 cache (kB),FSB (Mhz),Clock(Mhz),transistoren (#),technologie (nm)
8088,1979, 8/20 , - ," 4,77..8 ","4,77..8 ",29000,3000
8086,1978, 16/20 , - ," 4,77..8 ","4,77..8 ",29000,3000
80286,1980, 16/24 , - , 6..20 ,6..20 ,134000,1500
80386DX ,1985, 32/32 , - , 16..33 ,16..33 ,275000,1500
80486DX/SX ,1989, 32/32 ,8, 25..50 ,25..50 ," 1,2M ",1000
80486DX2 ,1992, 32/32 ,8, 25..40 ,25..80 ," 1,2M ",800
80486DX4 ,1994, 32/32 , 8+8 , 25..40 ,75..120 ," 1,2M ",600
Pentium ,1993, 64/32 , 8+8 , 60..66 ,60..200 , 3M ,600
Pentium MMX ,1997, 64/32 , 16+16 ,66,166..233 ," 4,5M ",350
Pentium Pro ,1995, 64/36 , 8+8 ,66,150..200 ," 5,5M ",350
Pentium II ,1997, 64/36 , 16+16 , 66/100 ,300..450 ," 7,5M ",250
Pentium III ,1999, 64/36 , 16+16 , 100/133 ,450..1300 , 9..28M ,130
AMD Athlon ,1999, 64/36 , 64+64 , 200/266 ,500..2200 , 22..37M ,  
Pentium IV ,2001, 64/36 , 8+96 , 400/533 ,1400..2800 , 42M ,130
AMD 64 ,2005, 64/36 , 2*512k L2 ,2000,"2,4GHz ", 233M ,102
Dual Core ,2006, 64/36 , 2*2M L2 ,800,"3,6GHz ", 376M ,65
i7 (Nehalem),2008,64/36,32+32/core,-,"3,2 Ghz",731M (QC),45/32
Intel Sandy Bridge,2011,64/36,32+32/core,-,"3,8 Ghz  (1)",995M (QC),32
Intel Ivy bridge,2012,64/32,32+32/core,-,"3,9 Ghz",1400M (QC),22
